,EHRI-ID,WD-ID,Camp-EHRI-label-simple,HGC_ID,SubcampSimple,ID1,ID,MHG_ID,SubcampDiaFix,SubcampDiaFixSimple,SubcampMattingly,Main,Women,Men,Gender,FIRMS,YYYY_OPEN,MM_OPEN,DD_OPEN,Open_Txt,YYYY_CLOSE,MM_CLOSE,DD_CLOSE,Close_Txt,PRISONERS,Date_Open,Date_Close,PEAK_POP,FUNC_1,FUNC_2,HOW_FOUND,Share_Loc,LAT,LONG,NATIONS,ENCY_REF,LABOR,EDIT_NOTES
0,4.0,Q2227743,Altdorf,01-0009-0,Altdorf,1,01-0009-0,502,Altdorf,Altdorf,Altdorf,Auschwitz,0,0,0,Pless Forestry Management Office,42.0,10.0,,"""October 1942""",43.0,3.0,,"""March 1943""",Jewish,10/15/1942,03/15/1943,20,5,0,,0,49.983299,18.9167,,"Encyclopedia of Camps, Volume 1 pg 224",Forestry detail located in the basement of a house by the Forestry Management Office (Oberforstamt),
1,5.0,Q1719343,Althammer,01-0013-0,Althammer,2,01-0013-0,503,Althammer,Althammer,Althammer,Auschwitz,0,0,0,,44.0,9.0,,"""September 1944""",45.0,1.0,,"""January 1945""","Jewish, one Gypsy",09/15/1944,01/15/1945,486,5,0,,0,51.400001,17.466699,"France, Poland, Hungary, Dutch","Encyclopedia of Camps, Volume 1 pg 224","Prisoners contructed the Walter thermal power plant, doing jobs like bricklaying and transport",
2,1.0,Q662563,Auschwitz I,01-0032-3,Auschwitz I,3,01-0032-3,504,Auschwitz I,Auschwitz I,Auschwitz^Auschwitz I,Auschwitz,2,1,3,"IG Farben, Herman Goring Works, German Equipment Works, German Earth and Stone Company, Gollenschow Portland Cement Plant, German Food Concern Ltd.",40.0,6.0,14.0,"""June 14, 1940""",45.0,1.0,27.0,,"Political Poles, Jews, handicapped, Protestant and Catholic clergy, Homosexuals, Jehovah's witnesses, other Politicals, Gypsys, Soviet POW",06/14/1940,01/27/1945,0,6,0,,0,50.026199,19.204099,All over Europe,"Encyclopedia of Camps, Volume 1 pg 204","Inmates worked in administrative, service, and clerical jobs inside, and in farms, fish hatcheries, factories, mines, chemicals plants and armaments works outside the camp",
3,2.0,Q663764,Auschwitz-Birkenau,01-0033-3,Auschwitz II Birkenau,4,01-0033-3,505,Auschwitz II Birkenau,Auschwitz II Birkenau,Birkenau (Auschwitz II)^Auschwitz-Birkenau^Auschwitz II^Birkenau^Auschwitz Birkenau,Auschwitz,2,1,3,,43.0,11.0,22.0,"""November 22, 1943""",44.0,11.0,25.0,"""November 25, 1944""","Jews, Poles, Gypsys and Soviets",11/22/1943,11/25/1944,0,0,0,,0,50.0371,19.1752,All over Europe,"Encyclopedia of Camps and Ghettos, p. 209","Extermination camp, prisoners built camp, most were gassed, some worked cleaning out the gas chambers, doing agricultural work, or in nearby armaments factories",BB added N_FIRM data 7/3/2012
4,3.0,Q700356,Auschwitz III Monowitz,01-0034-0,Auschwitz III Monowitz,5,01-0034-0,506,Auschwitz III Monowitz,Auschwitz III Monowitz,Buna-Monowitz (Auschwitz III)^Auschwitz III^Buna-Monowitz^Monowitz^Buna-Monowitz^Monowitz,Auschwitz,0,0,0,,41.0,4.0,,,45.0,1.0,18.0,,,04/15/1941,01/18/1945,11000,4,0,,0,50.031101,19.2915,,"Encyclopedia of Camps, Volume 1 pg 215",Prisoners built and worked in an IG Farben factory producing synthetic fuels and rubber,AK added Open YYYY and Open MM and Date_Evac_Txt from Encyclopedia
5,,,,01-0036-1,Babitz (men),6,01-0036-1,507,Babitz (men),Babitz (men),Babitz,Auschwitz,2,1,1,,43.0,3.0,,"""March 1943""",45.0,1.0,17.0,"""July 1944- women moved to Birkenau, men evacuated January 17, 1945""","Jewish, Russians",03/15/1943,01/17/1945,0,0,0,,1,50.166698,17.9167,"Greek, Polish, Russian","Encyclopedia of Camps, Volume 1 pg 225","Prisoners demolished village buildings and constructed farm buildings, later working on the farm",
6,6.0,Q13433079,Babitz,01-0036-3,Babitz (both),7,01-0036-3,507,Babitz (both),Babitz (both),,Auschwitz,2,1,3,,43.0,3.0,,"""March 1943""",44.0,7.0,,"""July 1944- women moved to Birkenau, mens still open""","Jewish, Russians",03/15/1943,07/15/1944,200,6,0,,1,50.166698,17.9167,"Greek, Polish, Russian","Encyclopedia of Camps, Volume 1 pg 225","Prisoners demolished village buildings and constructed farm buildings, later working on the farm",
7,1215.0,Q47515303,Bismarckh�tte,01-0105-3,Bismarckh�tte,8,01-0105-3,508,Bismarckh�tte [aka K�nigsh�tte],Bismarckh�tte,Bismarckh�tte^Bismarchkutte,Auschwitz,2,1,3,,44.0,9.0,,"""September 1944""",45.0,1.0,18.0,"""January 18, 1945""",Jewish,09/15/1944,01/18/1945,200,0,0,,0,50.2667,18.95,All over Europe,"Encyclopedia of Camps and Ghettos, p. 226","expanded camp, worked in steel mill, armor and anti-aircraft gun factory",
8,7.0,Q15115948,Blechhammer  ,01-0109-3,Blechhammer,9,01-0109-3,509,Blechhammer,Blechhammer,Blechhammer,Auschwitz,2,1,3,Oberschlesische Hydrierwerke AG,44.0,4.0,1.0,"""April 1, 1944""",45.0,1.0,,"""January, 1945""",Jewish,04/01/1944,01/15/1945,4000,9,0,,0,50.366699,18.2833,All over Europe,"Encyclopedia of Camps, Volume 1 pg 227",Prisoners worked in a synthetic gasoline factory owned by Oberschlesische Hydrierwerke AG,
9,8.0,Q2149850,Bobrek,01-0112-3,Bobrek,10,01-0112-3,510,Bobrek,Bobrek,Bobrek,Auschwitz,2,1,3,Siemens,44.0,1.0,,"""January 1944""",45.0,1.0,17.0,"""January 17, 1945""","Jewish, others",01/15/1944,01/17/1945,251,4,0,,0,50.333301,18.866699,All over Europe,"Encyclopedia of Camps, Volume 1 pg 228",Inmates first reconstructed Siemens electronics factory and then performed skilled labor there,
10,9.0,Q47515935,Br�nn,01-0155-3,Br�nn,11,01-0155-3,511,Br�nn,Br�nn,Br�nn^Brunn,Auschwitz,2,1,3,Police Engineering Academy,43.0,10.0,2.0,"""October 2, 1943""",45.0,1.0,17.0,"""January 17, 1945""","Jewish, Polish",10/02/1943,01/17/1945,251,6,0,,0,49.2,16.6333,Mostly Poles,"Encyclopedia of Camps, Volume 1 pg 231","Prisoners brought to finish building part of the SS and Police Engineering Academy, where SS was experimenting with arms and equipment",
11,10.0,Q47515739,Budy,01-0160-3,Budy,12,01-0160-3,512,Budy,Budy,Budy,Auschwitz,2,1,3,,42.0,4.0,,"""April 1942""",45.0,1.0,17.0,"""January 17, 1945""","Jewish, other",04/15/1942,01/17/1945,388,6,0,,0,49.983299,19.149999,"Poles, French, Belgians, Czechs, Russians, a few Germans, Gypsies, Greek jews.","Encyclopedia of Camps, Volume 1 pg 233",Prisoners worked on a farm run by the SS,
12,11.0,Q47515833,Charlottengrube,01-0167-3,Charlottengrube,13,01-0167-3,513,Charlottengrube,Charlottengrube,Charlottengrube,Auschwitz,2,1,3,Hermann G÷ring Werke,44.0,9.0,19.0,"""September 19, 1944""",45.0,1.0,19.0,,Jewish,09/19/1944,01/19/1945,1050,9,0,,0,50.066699,18.4333,All over Europe,"Encyclopedia of Camps, Volume 1 pg 234",Prisoners mined coal and transported materials,
13,12.0,Q47515392,Chelmek-Paprotnik,01-0169-3,Chelmek-Paprotnik,14,01-0169-3,514,Chelmek-Paprotnik [aka Chelmek],Chelmek-Paprotnik,Chelmek-Paprotnik^Chelmek^Paprotnik,Auschwitz,2,1,3,Bata Shoe Factory,42.0,10.0,,"""October 1942""",42.0,12.0,9.0,,Jewish,10/15/1942,12/09/1942,150,5,0,,0,50.099998,19.2667,All over Europe,"Encyclopedia of Camps, Volume 1 pg 236",Prisoners cleaned ponds near factory so that their water could be used industrially,
14,13.0,Q872118,Eintrachth�tte,01-0244-3,Eintrachth�tte,15,01-0244-3,515,Eintrachth�tte,Eintrachth�tte,Einrachth�tte^Einrachthutte,Auschwitz,2,1,3,,43.0,5.0,26.0,"""May 26, 1943""",45.0,1.0,,,"Jewish, Polish, Russian POW",05/26/1943,01/15/1945,1297,4,0,,0,50.283298,18.9167,"French, Czech, Poles, Belgian, Dutch, Bohemian, Slavic, Hungarian","Encyclopedia of Camps, Volume 1 pg 237",Prisoners manufactured anti-aircraft guns,
15,14.0,Q47515710,Freudenthal,01-0294-0,Freudenthal,16,01-0294-0,516,Freudenthal,Freudenthal,Freudenthal,Auschwitz,0,0,0,E. Machold textile factory,44.0,10.0,,"""Probably came into being in October 1944""",45.0,5.0,6.0,,,10/15/1944,05/06/1945,301,5,0,,0,49.983299,17.466699,,"Encyclopedia of Camps, Volume 1 pg 238",Prisoners worked at Emmerich Machold factory sewing uniforms for the war effort,
