Camp,Country,NearCity,Subcamp,Type,Company,Function,TimeActive,Gender,OtherNames,PrisonerNumbers
Bergen-Belsen,Germany,,FALSE,,FALSE,,,,,
Bîrgermoor,Germany,,FALSE,,FALSE,,,,,
Buchenwald,Germany,,FALSE,,FALSE,,,,,
Dachau,Germany,,FALSE,,FALSE,,,,,
Dieburg,Germany,,FALSE,,FALSE,,,,,
Esterwegen,Germany,,FALSE,,FALSE,,,,,
Flossenburg,Germany,,FALSE,,FALSE,,,,,
Gundelsheim,Germany,,FALSE,,FALSE,,,,,
Neuengamme,Germany,,FALSE,,FALSE,,,,,
Papenburg,Germany,,FALSE,,FALSE,,,,,
Ravensbruck,Germany,,FALSE,,FALSE,,,,,
Sachsenhausen,Germany,,FALSE,,FALSE,,,,,
Sachsenburg,Germany,,FALSE,,FALSE,,,,,
Mauthausen,Austria,,FALSE,,FALSE,,,,,
Breendonck,Belgium,,FALSE,,FALSE,,,,,
Theresienstadt,Czechoslovakia,,FALSE,,FALSE,,,,,
Vivara,Estonia,,FALSE,,FALSE,,,,,
Finland:,Estonia,,FALSE,,FALSE,,,,,
Kangasjarvi,Estonia,,FALSE,,FALSE,,,,,
Koveri,Estonia,,FALSE,,FALSE,,,,,
Argeles,France,,FALSE,,FALSE,,,,,
Aurigny,France,,FALSE,,FALSE,,,,,
Brens,France,,FALSE,,FALSE,,,,,
Drancy,France,,FALSE,,FALSE,,,,,
Gurs,France,,FALSE,,FALSE,,,,,
Les Milles,France,,FALSE,,FALSE,,,,,
Le Vernet,France,,FALSE,,FALSE,,,,,
Natzweiler-Struthof,France,,FALSE,,FALSE,,,,,
NoÇ,France,,FALSE,,FALSE,,,,,
RÇcÇbÇdou,France,,FALSE,,FALSE,,,,,
Rieucros,France,,FALSE,,FALSE,,,,,
Rivesaltes,France,,FALSE,,FALSE,,,,,
Suresnes,France,,FALSE,,FALSE,,,,,
Thill,France,,FALSE,,FALSE,,,,,
Abadla,France,,FALSE,WORK,FALSE,,,,,
Ain el Ourak,France,,FALSE,WORK,FALSE,,,,,
Bechar,France,,FALSE,WORK,FALSE,,,,,
Berguent,France,,FALSE,WORK,FALSE,,,,,
Bogari,France,,FALSE,WORK,FALSE,,,,,
Bouarfa,France,,FALSE,WORK,FALSE,,,,,
Djelfa,France,,FALSE,WORK,FALSE,,,,,
Kenadsa,France,,FALSE,WORK,FALSE,,,,,
Meridja,France,,FALSE,WORK,FALSE,,,,,
Missour,France,,FALSE,WORK,FALSE,,,,,
Tendrara,France,,FALSE,WORK,FALSE,,,,,
Amersfoort,Netherlands,,FALSE,,FALSE,,,,,
Ommen,Netherlands,,FALSE,,FALSE,,,,,
Vught,Netherlands,,FALSE,,FALSE,,,,,
Westerbork,Netherlands,,FALSE,TRANSIT,FALSE,,,,,
Bolzano,Italy,,FALSE,,FALSE,,,,,
Fossoli,Italy,,FALSE,,FALSE,,,,,
Risiera di San Sabba,Italy,,FALSE,,FALSE,,,,,
Riga,Latvia,,FALSE,,FALSE,,,,,
Riga-Kaiserwald,Latvia,,FALSE,,FALSE,,,,,
Dundaga,Latvia,,FALSE,,FALSE,,,,,
Eleje-Meitenes,Latvia,,FALSE,,FALSE,,,,,
Jungfernhof,Latvia,,FALSE,,FALSE,,,,,
Lenta,Latvia,,FALSE,,FALSE,,,,,
Spilwe,Latvia,,FALSE,,FALSE,,,,,
Kaunas,Lithuania,,FALSE,,FALSE,,,,,
Aleksotaskowno,Lithuania,,FALSE,,FALSE,,,,,
Palemonas,Lithuania,,FALSE,,FALSE,,,,,
Pravieniskäs,Lithuania,,FALSE,,FALSE,,,,,
Volary,Lithuania,,FALSE,,FALSE,,,,,
Baerum,Norway,,FALSE,,FALSE,,,,,
Berg,Norway,,FALSE,,FALSE,,,,,
Bredtvet,Norway,,FALSE,,FALSE,,,,,
Falstadt,Norway,,FALSE,,FALSE,,,,,
Tromsdalen,Norway,,FALSE,,FALSE,,,,,
Ulven,Norway,,FALSE,,FALSE,,,,,
Auschwitz,Poland,,FALSE,EXTERMINATION,FALSE,,,,"Auschwitz-Birkenau, Oswiecim, Oscwiecim-Brzezinka, Brzezinka",
Belzec,Poland,,FALSE,EXTERMINATION,FALSE,,,,,
Bierznow,Poland,,FALSE,,FALSE,,,,,
Biesiadka,Poland,,FALSE,,FALSE,,,,,
Dzierzazna,Poland,,FALSE,CHILDREN,FALSE,,,,,
Litzmannstadt,Poland,,FALSE,CHILDREN,FALSE,,,,,
Gross-Rosen,Poland,,FALSE,,FALSE,,,,Rogoznica,
Huta-Komarowska,Poland,,FALSE,,FALSE,,,,,
Janowska,Poland,,FALSE,,FALSE,,,,,
Krakow,Poland,,FALSE,,FALSE,,,,,
Chelmno,Poland,,FALSE,EXTERMINATION,FALSE,,,,Kulmhof,
Lublin,Poland,,FALSE,PRISON,FALSE,,,,,
Lemberg,Poland,,FALSE,,FALSE,,,,Lwow,
Czwartaki,Poland,,FALSE,,FALSE,,,,,
Lemberg,Poland,,FALSE,,FALSE,,,,,
Majdanek,Poland,,FALSE,EXTERMINATION,FALSE,,,,,
Mielec,Poland,,FALSE,,FALSE,,,,,
Pawiak,Poland,,FALSE,PRISON,FALSE,,,,,
Plaszow,Poland,,Majdanek,WORK,FALSE,,,,,
Poniatowa,Poland,,FALSE,,FALSE,,,,,
Pustkow,Poland,,FALSE,WORK,FALSE,,,,,
Radogosz,Poland,,FALSE,PRISON,FALSE,,,,,
Radom,Poland,,FALSE,,FALSE,,,,,
Schmolz,Poland,,FALSE,,FALSE,,,,,
Schokken,Poland,,FALSE,,FALSE,,,,,
Sobibor,Poland,,FALSE,EXTERMINATION,FALSE,,,,,
Stutthof,Poland,,FALSE,,FALSE,,,,Sztutowo,
Treblinka,Poland,,FALSE,EXTERMINNATION,FALSE,,,,,
Wieliczka,Poland,,FALSE,,FALSE,,,,,
Zabiwoko,Poland,,FALSE,WORK,FALSE,,,,,
Zakopane,Poland,,FALSE,,FALSE,,,,,
AkmÇtchetka,Russia,,FALSE,,FALSE,,,,,
Balanowka,Russia,,FALSE,,FALSE,,,,,
Bar,Russia,,FALSE,,FALSE,,,,,
Bisjumujsje,Russia,,FALSE,,FALSE,,,,,
Bogdanovka,Russia,,FALSE,,FALSE,,,,,
Citadelle,Russia,,FALSE,POW,FALSE,,,,,
Czwartaki,Russia,,FALSE,,FALSE,,,,,
Daugavpils,Russia,,FALSE,,FALSE,,,,,
Domanievka,Russia,,FALSE,,FALSE,,,,,
Edineti,Russia,,FALSE,,FALSE,,,,,
Kielbasin,Russia,,FALSE,,FALSE,,,,Kelbassino,
Khorol,Russia,,FALSE,,FALSE,,,,,
Klooga,Russia,,FALSE,,FALSE,,,,,
Lemberg,Russia,,FALSE,,FALSE,,,,,
Mezjapark,Russia,,FALSE,,FALSE,,,,,
Ponary,Russia,,FALSE,,FALSE,,,,,
Rawa-Russkaja,Russia,,FALSE,,FALSE,,,,,
Salapils,Russia,,FALSE,,FALSE,,,,,
Strazdumujsje,Russia,,FALSE,,FALSE,,,,,
Yanowski,Russia,,FALSE,,FALSE,,,,,
Vertugen,Russia,,FALSE,,FALSE,,,,,
Banjica,Yugoslavia,,FALSE,,FALSE,,,,,
Brocice,Yugoslavia,,FALSE,,FALSE,,,,,
Chabatz,Yugoslavia,,FALSE,,FALSE,,,,,
Danica,Yugoslavia,,FALSE,,FALSE,,,,,
Dakovo,Yugoslavia,,FALSE,,FALSE,,,,,
Gornja reka,Yugoslavia,,FALSE,,FALSE,,,,,
Gradiska,Yugoslavia,,FALSE,,FALSE,,,,,
Jadovno,Yugoslavia,,FALSE,,FALSE,,,,,
Jasenovac,Yugoslavia,,FALSE,,FALSE,,,,,
Jastrebarsko,Yugoslavia,,FALSE,,FALSE,,,,,
Kragujevac,Yugoslavia,,FALSE,,FALSE,,,,,
Krapje,Yugoslavia,,FALSE,,FALSE,,,,,
Kruscica,Yugoslavia,,FALSE,,FALSE,,,,,
Lepoglava,Yugoslavia,,FALSE,,FALSE,,,,,
Loborgrad,Yugoslavia,,FALSE,,FALSE,,,,,
Sajmite,Yugoslavia,,FALSE,,FALSE,,,,,
Sisak,Yugoslavia,,FALSE,,FALSE,,,,,
Slano,Yugoslavia,,FALSE,,FALSE,,,,,
Slavonska-Pozega,Yugoslavia,,FALSE,,FALSE,,,,,
Stara-Gradiska,Yugoslavia,,FALSE,,FALSE,,,,,
Tasmajdan,Yugoslavia,,FALSE,,FALSE,,,,,
Zemun,Yugoslavia,,FALSE,,FALSE,,,,,
Aachen,Germany,Aachen,Buchenwald,WORK,,Bomb demolition squads,,,,
Abteroda,Germany,Berka/Werra,Buchenwald,WORK,BMW,Production of chemical explosives,,,,
Abteroda/Vitzeroda,Germany,Berka/Werra,Buchenwald,WORK,BMW,Manufacture of aircraft engine parts,,,,
Allendorf,Germany,Stadtallendorf,Buchenwald,WORK,Dynamit Nobel,Chemical products,,,,
Altenburg,Germany,Altenburg,Buchenwald,WORK,Hugo Schneider AG,Manufacture ofˇcartridge cases,,,,
Arolsen,Germany,Bad Arolsen,Buchenwald,WORK,,Service personnel for theˇSS officers' school,,,,
Aschersleben,Germany,Aschersleben,Buchenwald,WORK,Junkers,Production of aircraft and engines,,,,
Augustdorf (Sennelager),Germany,Augustdorf,Buchenwald,WORK,,Work forˇPanzerˇunit training and replacement,,,,
Bad Berka,Germany,Bad Berka,Buchenwald,WORK,ThÅringische Eisenbahn-AG,Railway work,,,,
Bad Gandersheim,Germany,Bad Gandersheim,Buchenwald,WORK,Bruns-Apparatebau (branch of theˇHeinkelˇaircraft company),Aircraft production,,,,
Bad Salzungen I,Germany,Bad Salzungen,Buchenwald,WORK,OT-Bauleitung,Road construction,,,,
Bad Salzungen II,Germany,Bad Salzungen,Buchenwald,WORK,OT-Sonder-Bauleitung,Potashˇmining,,,,
Bensberg,Germany,Bergisch Gladbach,Buchenwald,WORK,OT-Bauleitung,Construction and repair work,,,,
Berga,Germany,Berga,Buchenwald,WORK,Brabag,Tunneling,,,,
Berlstedt,Germany,Berlstedt,Buchenwald,WORK,SS-WVHA,"Brick manufacturing, road construction",,,,
Bernburg / Plîmnitz,Germany,Bernburg,Buchenwald,WORK,"OT-Bauleitung, Allgemeine Solvay-Werke",Concrete pouring,,,,
Billroda,Germany,Billroda,Buchenwald,WORK,,"Potash mining, construction",,,,
Blankenhain,Germany,Blankenhain,Buchenwald,WORK,,Sand mining,,,,
Bochum I,Germany,Bochum,Buchenwald,WORK,,Bomb demolition squads,,,,
Bochum II,Germany,Bochum,Buchenwald,WORK,Eisen- und HÅttenwerke AG,Armor and steel production,,,,
Bochum III,Germany,Bochum,Buchenwald,WORK,Bochumer Verein,Bullet manufacture,,,,
Bîhlen,Germany,Bîhlen,Buchenwald,WORK,Brabag,Cleanup after an air raid,,,,
Braunschweig,Germany,Braunschweig,Buchenwald,WORK,SS Junker School,Repair work,,,,
Colditz,Germany,Colditz,Buchenwald,WORK,Hugo Schneider AG,Munitionsˇfactory,,,,
Crawinkel,Germany,Crawinkel,Buchenwald,WORK,SS-WVHA,Quarryˇwork and tunneling for railways,,,,
Dessau I,Germany,Dessau,Buchenwald,WORK,Waggonbau Dessau,Manufacture of railway cars,,,,
Dessau II,Germany,Dessau,Buchenwald,WORK,Junkers,Production of aircraft and engines,,,,
Dortmund I,Germany,Dortmund,Buchenwald,WORK,,Bomb demolition squads,,,,
Dortmund II,Germany,Dortmund,Buchenwald,WORK,Dortmund-Hîrder HÅttenverein AG,Munitions factory,,,,
Duisburg,Germany,Duisburg,Buchenwald,WORK,City of Duisburg,Bomb demolition and general work,,,,
DÅsseldorf-Friedrichstadt I,Germany,DÅsseldorf,Buchenwald,WORK,"SS and Police Leader, West Germany",Bomb demolition squads,,,,
DÅsseldorf-Friedrichstadt II,Germany,DÅsseldorf,Buchenwald,WORK,SS-WVHA,Clearing debris,,,,
"DÅsseldorf-Grafenberg, Dinnendahlstra·e-SchlÅterstra·e",Germany,DÅsseldorf,Buchenwald,WORK,Rheinmetall-Borsig AG,Parts manufacture forˇV-1ˇandˇV-2ˇmissiles,,,,
DÅsseldorf-Lohausen,Germany,DÅsseldorf,Buchenwald,WORK,"SS and Police Leader, DÅsseldorf",Blasting operations,,,,
Eisenach,Germany,Eisenach,Buchenwald,WORK,BMW,Manufacture of aircraft engine parts,,,,
Elsnig,Germany,Elsnig,Buchenwald,WORK,WestfÑlisch-Anhaltische Sprengstoff AG,Production ofˇTNTˇexplosives,,,,
Espenfeld,Germany,Ohrdruf,Buchenwald,WORK,,Construction of tunnels inˇJonas Valley,,,,
Essen I,Germany,Essen,Buchenwald,WORK,SS-WVHA,"Clearing debris, bomb demolition",,,,
Essen II,Germany,Essen,Buchenwald,WORK,Krupp Gussstahlfabrik,General work in a steel mill,,,,
Flî·berg bei Leipzig,Germany,Frohburg,Buchenwald,WORK,Flîssberger Metallwerke,Manufacture of ammunition and rocket-propelled grenades,,,,
Gelsenkirchen-Horst,Germany,Gelsenkirchen,Buchenwald,WORK,Gelsenberg Benzin AG,"Munitions factory, clearing debris",,,,
Gie·en,Germany,Giessen,Buchenwald,WORK,Medical and Training Division of the SS hospital,Construction ofˇbunkers,,,,
Goslar,Germany,Goslar,Buchenwald,WORK,,General work for theˇLuftwaffeˇair base command,,,,
Gîttingen,Germany,Gîttingen,Buchenwald,WORK,,Work in the SS cavalry school,,,,
Hadmersleben,Germany,Hadmersleben,Buchenwald,WORK,,"Construction, airplane part manufacture",,,,
